Active addresses,Blocks count,Block time,CHAIN,Date(UTC),Value
871.0,5009,17.24895188660411,Ethereum,2015-10-05T00:00:00Z,6279.0
907.0,4806,17.97752808988764,Ethereum,2015-10-06T00:00:00Z,6458.0
881.0,5004,17.26618705035971,Ethereum,2015-10-07T00:00:00Z,7121.0
865.0,5152,16.770186335403725,Ethereum,2015-10-08T00:00:00Z,6926.0
868.0,4905,17.61467889908257,Ethereum,2015-10-09T00:00:00Z,6763.0
793.0,4896,17.647058823529413,Ethereum,2015-10-10T00:00:00Z,6529.0
840.0,5073,17.031342400946187,Ethereum,2015-10-11T00:00:00Z,6023.0
832.0,5148,16.783216783216783,Ethereum,2015-10-12T00:00:00Z,6593.0
846.0,5108,16.91464369616288,Ethereum,2015-10-13T00:00:00Z,6818.0
956.0,4934,17.51114714227807,Ethereum,2015-10-14T00:00:00Z,6830.0
876.0,4926,17.53958587088916,Ethereum,2015-10-15T00:00:00Z,6499.0
882.0,4883,17.694040548842924,Ethereum,2015-10-16T00:00:00Z,6795.0
867.0,5056,17.088607594936708,Ethereum,2015-10-17T00:00:00Z,6567.0
818.0,4945,17.472194135490394,Ethereum,2015-10-18T00:00:00Z,6481.0
842.0,4975,17.366834170854272,Ethereum,2015-10-19T00:00:00Z,6604.0
837.0,4990,17.314629258517034,Ethereum,2015-10-20T00:00:00Z,5897.0
873.0,4990,17.314629258517034,Ethereum,2015-10-21T00:00:00Z,6182.0
849.0,4835,17.869700103412615,Ethereum,2015-10-22T00:00:00Z,5979.0
957.0,5263,16.416492494774843,Ethereum,2015-10-23T00:00:00Z,6888.0
869.0,5171,16.708567008315605,Ethereum,2015-10-24T00:00:00Z,6361.0
918.0,5096,16.95447409733124,Ethereum,2015-10-25T00:00:00Z,5830.0
987.0,4908,17.6039119804401,Ethereum,2015-10-26T00:00:00Z,5938.0
1150.0,5220,16.551724137931036,Ethereum,2015-10-27T00:00:00Z,6784.0
1167.0,4967,17.394805717737064,Ethereum,2015-10-28T00:00:00Z,7346.0
1269.0,5158,16.750678557580457,Ethereum,2015-10-29T00:00:00Z,7836.0
1315.0,5232,16.513761467889907,Ethereum,2015-10-30T00:00:00Z,7941.0
1222.0,5129,16.84538896471047,Ethereum,2015-10-31T00:00:00Z,7557.0
1157.0,5158,16.750678557580457,Ethereum,2015-11-01T00:00:00Z,6915.0
1332.0,5024,17.197452229299362,Ethereum,2015-11-02T00:00:00Z,6558.0
1249.0,5085,16.991150442477878,Ethereum,2015-11-03T00:00:00Z,7399.0
1241.0,5125,16.858536585365854,Ethereum,2015-11-04T00:00:00Z,7037.0
1288.0,5103,16.93121693121693,Ethereum,2015-11-05T00:00:00Z,7498.0
1241.0,5142,16.802800466744458,Ethereum,2015-11-06T00:00:00Z,7882.0
1176.0,4922,17.553839902478668,Ethereum,2015-11-07T00:00:00Z,10996.0
1188.0,5021,17.207727544313883,Ethereum,2015-11-08T00:00:00Z,12413.0
1342.0,5024,17.197452229299362,Ethereum,2015-11-09T00:00:00Z,7689.0
1270.0,5053,17.09875321591134,Ethereum,2015-11-10T00:00:00Z,8151.0
1260.0,5028,17.183770883054894,Ethereum,2015-11-11T00:00:00Z,10217.0
1215.0,5079,17.011222681630244,Ethereum,2015-11-12T00:00:00Z,9534.0
1194.0,5119,16.878296542293416,Ethereum,2015-11-13T00:00:00Z,7891.0
1240.0,5127,16.8519602106495,Ethereum,2015-11-14T00:00:00Z,7211.0
1219.0,5195,16.631376323387872,Ethereum,2015-11-15T00:00:00Z,7170.0
1272.0,5039,17.146259178408414,Ethereum,2015-11-16T00:00:00Z,7442.0
1306.0,5163,16.73445671121441,Ethereum,2015-11-17T00:00:00Z,7145.0
