Date(UTC),PRICE,TOKEN
2017-02-10,11.06622531954047,Ethereum (ETH)
2017-02-11,11.32848669745954,Ethereum (ETH)
2017-02-12,11.339950138141138,Ethereum (ETH)
2017-02-13,11.292007486012931,Ethereum (ETH)
2017-02-14,12.312386317264007,Ethereum (ETH)
2017-02-15,12.846061865249272,Ethereum (ETH)
2017-02-16,12.792121743119072,Ethereum (ETH)
2017-02-17,12.803842088327729,Ethereum (ETH)
2017-02-18,12.813137278923795,Ethereum (ETH)
2017-02-19,12.842758905170212,Ethereum (ETH)
2017-02-20,12.826433957952617,Ethereum (ETH)
2017-02-21,12.686622126905498,Ethereum (ETH)
2017-02-22,12.733189268042336,Ethereum (ETH)
2017-02-23,12.817919251903035,Ethereum (ETH)
2017-02-24,13.11340977766641,Ethereum (ETH)
2017-02-25,13.398229855891405,Ethereum (ETH)
2017-02-26,13.78885887510654,Ethereum (ETH)
2017-02-27,14.732758222016466,Ethereum (ETH)
2017-02-28,15.748937035736883,Ethereum (ETH)
2017-03-01,15.966595114586982,Ethereum (ETH)
2017-03-02,18.16074198247531,Ethereum (ETH)
2017-03-03,19.75240573699373,Ethereum (ETH)
2017-03-04,19.45804785384103,Ethereum (ETH)
2017-03-05,18.87740876807814,Ethereum (ETH)
2017-03-06,19.58159259422284,Ethereum (ETH)
2017-03-07,19.16364772408794,Ethereum (ETH)
2017-03-08,17.890041225313333,Ethereum (ETH)
2017-03-09,17.297830202602857,Ethereum (ETH)
2017-03-10,18.215863887058106,Ethereum (ETH)
2017-03-11,19.829238217345893,Ethereum (ETH)
2017-03-12,22.342063704940543,Ethereum (ETH)
2017-03-13,27.19816390055648,Ethereum (ETH)
2017-03-14,28.44707458779123,Ethereum (ETH)
2017-03-15,30.28976482496645,Ethereum (ETH)
2017-03-16,40.41637950459861,Ethereum (ETH)
2017-03-17,45.850534117776725,Ethereum (ETH)
2017-03-18,38.79606297582225,Ethereum (ETH)
2017-03-19,39.44909165882233,Ethereum (ETH)
2017-03-20,43.36527921703497,Ethereum (ETH)
2017-03-21,42.89162326847453,Ethereum (ETH)
2017-03-22,41.138500295277645,Ethereum (ETH)
2017-03-23,41.657897614935344,Ethereum (ETH)
2017-03-24,46.23001359853305,Ethereum (ETH)
2017-03-25,50.52685639359137,Ethereum (ETH)
2017-03-26,50.48786934507116,Ethereum (ETH)
2017-03-27,50.47151360123669,Ethereum (ETH)
2017-03-28,49.69079158292472,Ethereum (ETH)
2017-03-29,52.378029409983554,Ethereum (ETH)
2017-03-30,53.468843492201806,Ethereum (ETH)
2017-03-31,50.43727024643352,Ethereum (ETH)
2017-04-01,50.34136077534226,Ethereum (ETH)
2017-04-02,50.078941571556165,Ethereum (ETH)
2017-04-03,45.89836932145051,Ethereum (ETH)
2017-04-04,43.82053258986407,Ethereum (ETH)
2017-04-05,46.19767463694427,Ethereum (ETH)
2017-04-06,44.42638613829182,Ethereum (ETH)
2017-04-07,43.17576866385146,Ethereum (ETH)
2017-04-08,44.56790435453884,Ethereum (ETH)
2017-04-09,43.88044391063424,Ethereum (ETH)
2017-04-10,43.57947833278017,Ethereum (ETH)
2017-04-11,44.033753807865466,Ethereum (ETH)
2017-04-12,44.42646466472583,Ethereum (ETH)
2017-04-13,48.82882039886339,Ethereum (ETH)
2017-04-14,48.32901954357045,Ethereum (ETH)
2017-04-15,48.18682432579606,Ethereum (ETH)
2017-04-16,48.64170145060016,Ethereum (ETH)
2017-04-17,48.52151850130124,Ethereum (ETH)
2017-04-18,49.79331685563318,Ethereum (ETH)
2017-04-19,50.59718931962286,Ethereum (ETH)
2017-04-20,49.32648955068594,Ethereum (ETH)
2017-04-21,49.6696108985586,Ethereum (ETH)
2017-04-22,49.31683596937511,Ethereum (ETH)
2017-04-23,49.56059140151475,Ethereum (ETH)
2017-04-24,50.93913417822488,Ethereum (ETH)
2017-04-25,50.84876967631992,Ethereum (ETH)
2017-04-26,52.88400837811477,Ethereum (ETH)
2017-04-27,58.68839078610438,Ethereum (ETH)
2017-04-28,67.65506840765828,Ethereum (ETH)
