Date(UTC),send_amount,stable,tvl
2017-12-13T00:00:00+00:00,0.0,USDT,0.0
2017-12-14T00:00:00+00:00,0.0,USDT,0.0
2017-12-14T00:00:00+00:00,0.0,USDC,0.0
2017-12-14T00:00:00+00:00,0.0,Other,0.0
2017-12-14T00:00:00+00:00,0.0,FRAX,0.0
2017-12-14T00:00:00+00:00,0.0,DAI,0.0
2017-12-14T00:00:00+00:00,0.0,BUSD,0.0
2017-12-15T00:00:00+00:00,0.0,BUSD,0.0
2017-12-15T00:00:00+00:00,0.0,DAI,0.0
2017-12-15T00:00:00+00:00,0.0,FRAX,0.0
2017-12-15T00:00:00+00:00,0.0,Other,0.0
2017-12-15T00:00:00+00:00,0.0,USDC,0.0
2017-12-15T00:00:00+00:00,0.0,USDT,0.0
2017-12-16T00:00:00+00:00,0.0,USDC,0.0
2017-12-16T00:00:00+00:00,0.0,Other,0.0
2017-12-16T00:00:00+00:00,0.0,USDT,0.0
2017-12-16T00:00:00+00:00,0.0,DAI,0.0
2017-12-16T00:00:00+00:00,0.0,BUSD,0.0
2017-12-16T00:00:00+00:00,0.0,FRAX,0.0
2017-12-17T00:00:00+00:00,0.0,BUSD,0.0
2017-12-17T00:00:00+00:00,0.0,DAI,0.0
2017-12-17T00:00:00+00:00,0.0,FRAX,0.0
2017-12-17T00:00:00+00:00,0.0,Other,0.0
2017-12-17T00:00:00+00:00,0.0,USDC,0.0
2017-12-17T00:00:00+00:00,0.0,USDT,0.0
2017-12-18T00:00:00+00:00,0.0,USDT,0.0
2017-12-18T00:00:00+00:00,0.0,USDC,0.0
2017-12-18T00:00:00+00:00,0.0,Other,0.0
2017-12-18T00:00:00+00:00,0.0,FRAX,0.0
2017-12-18T00:00:00+00:00,0.0,DAI,0.0
2017-12-18T00:00:00+00:00,0.0,BUSD,0.0
2017-12-19T00:00:00+00:00,0.0,BUSD,0.0
2017-12-19T00:00:00+00:00,0.0,DAI,0.0
2017-12-19T00:00:00+00:00,0.0,FRAX,0.0
2017-12-19T00:00:00+00:00,0.0,Other,0.0
2017-12-19T00:00:00+00:00,0.0,USDC,0.0
2017-12-19T00:00:00+00:00,0.0,USDT,0.0
2017-12-20T00:00:00+00:00,0.0,USDC,0.0
2017-12-20T00:00:00+00:00,0.0,Other,0.0
2017-12-20T00:00:00+00:00,0.0,USDT,0.0
2017-12-20T00:00:00+00:00,0.0,DAI,0.0
2017-12-20T00:00:00+00:00,0.0,BUSD,0.0
2017-12-20T00:00:00+00:00,0.0,FRAX,0.0
2017-12-21T00:00:00+00:00,0.0,BUSD,0.0
2017-12-21T00:00:00+00:00,0.0,DAI,0.0
2017-12-21T00:00:00+00:00,0.0,FRAX,0.0
2017-12-21T00:00:00+00:00,0.0,Other,0.0
2017-12-21T00:00:00+00:00,0.0,USDC,0.0
2017-12-21T00:00:00+00:00,20.0,USDT,20.0
2017-12-22T00:00:00+00:00,0.0,USDC,0.0
2017-12-22T00:00:00+00:00,0.0,Other,0.0
2017-12-22T00:00:00+00:00,0.0,USDT,0.0
2017-12-22T00:00:00+00:00,0.0,DAI,0.0
2017-12-22T00:00:00+00:00,0.0,BUSD,0.0
2017-12-22T00:00:00+00:00,0.0,FRAX,0.0
2017-12-23T00:00:00+00:00,0.0,USDC,0.0
2017-12-23T00:00:00+00:00,0.0,Other,0.0
2017-12-23T00:00:00+00:00,0.0,USDT,0.0
2017-12-23T00:00:00+00:00,0.0,DAI,0.0
2017-12-23T00:00:00+00:00,0.0,BUSD,0.0
2017-12-23T00:00:00+00:00,0.0,FRAX,0.0
2017-12-24T00:00:00+00:00,0.0,BUSD,0.0
2017-12-24T00:00:00+00:00,0.0,DAI,0.0
2017-12-24T00:00:00+00:00,0.0,FRAX,0.0
2017-12-24T00:00:00+00:00,0.0,Other,0.0
